ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|b5ec4a738f0404a90d0e38031bbbc470|2024-01-08|02:33:49|1704699229|gas_transport|10.50|1|Torp-Labadie|44.894232|-85.543264
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|172d4d6883db7dc0e2d48285c83e369f|2024-01-08|09:28:35|1704724115|misc_pos|834.23|1|Gutmann-Upton|43.400766|-85.609438
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|c7678514163684e0a6ee0d4f88f3d51d|2024-01-09|23:40:13|1704861613|entertainment|987.19|1|Schuppe LLC|44.770892|-84.805631
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|5a20b66fd8ce8c2af65ebbe3dd701f21|2024-01-09|23:28:52|1704860932|personal_care|771.99|1|Monahan-Morar|44.072795|-85.152078
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|db7203d1dcc5a70b97d4887b2d9b2363|2024-01-09|19:02:29|1704844949|shopping_pos|742.76|1|Stoltenberg-Beatty|44.796838|-85.173802
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|f307a3241a467219fe7beae300f9e356|2024-01-09|23:33:30|1704861210|shopping_pos|516.59|1|Macejkovic-Lesch|43.755710|-84.971243
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|d3df68cd7af0b75d67e19cc384c88b11|2024-01-09|23:56:58|1704862618|shopping_pos|109.43|1|Baumbach, Strosin and Nicolas|43.528759|-85.019735
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|f3de458b027e993888838408eef392ee|2024-01-09|22:46:14|1704858374|personal_care|16.47|1|Kozey-Kuhlman|43.711803|-85.185367
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|0ef37f8881414295985a145fb3d79a05|2024-01-09|22:46:50|1704858410|personal_care|22.65|1|Morissette-Schaefer|43.961849|-84.990883
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json|01e81c292515a0364ad679f517dc3562|2024-01-09|23:26:45|1704860805|food_dining|19.39|1|Daugherty-Thompson|43.301072|-86.150836
