ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|ced05c5309af36dafe5fd1d26bd196d8|2024-04-01|10:59:45|1711983585|grocery_pos|326.00|1|Kilback LLC|39.798169|-74.206259
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|c987d6f2ff773102029a554940483b44|2024-04-02|02:49:52|1712040592|entertainment|9.11|1|Abshire PLC|40.241541|-75.967677
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|57621589e4c87bce45392432cb6f34c8|2024-04-01|01:24:13|1711949053|shopping_pos|1162.80|1|Goyette, Howell and Collier|40.643441|-75.336559
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|d2b1b758ac783e4f7ee98231b81bb3a1|2024-04-01|01:14:27|1711948467|shopping_net|1030.36|1|Kuhic, Bins and Pfeffer|39.612719|-76.136986
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|216d7348c6477ec961c9312a489a44c6|2024-04-01|01:06:52|1711948012|shopping_net|761.93|1|Rempel Inc|39.782417|-75.697305
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|afad7146471e6f05fb5f5ab6f78e1975|2024-04-01|01:20:33|1711948833|shopping_pos|878.47|1|Lesch Ltd|39.865055|-74.527470
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|40019e3f36ad02e9d878d1fdb2d7f034|2024-04-01|00:05:10|1711944310|misc_pos|472.58|1|Smith-Stokes|39.712986|-74.264994
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|21a6737c29c2c74a5460f586961b8bf2|2024-04-02|22:13:46|1712110426|kids_pets|126.13|1|Berge-Hills|40.417446|-75.032558
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|263d4f20a2488cdc5a08bdda138f8283|2024-04-02|23:57:31|1712116651|home|105.50|1|Stark-Koss|39.707166|-74.294681
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json|4012932d130a1a66a5ede068255c3293|2024-04-02|23:23:51|1712114631|health_fitness|22.10|1|Kertzmann LLC|39.804955|-75.970422
