ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|37a490cbb918ccf41bb62f599b36f4f8|2024-04-02|03:46:23|1712043983|grocery_pos|320.05|1|Cartwright-Harris|44.820034|-122.903142
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|8e8298b1260fa35ce5f826c1a44f262f|2024-04-02|02:23:15|1712038995|grocery_pos|304.78|1|Schultz, Simonis and Little|44.792855|-121.654996
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|2e71810e4df3d25ac4fd4b6491936f83|2024-04-02|03:08:09|1712041689|grocery_pos|299.89|1|Barton Inc|44.370563|-123.417463
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|fe9cb1991a19c960e81667c05a02ab8b|2024-04-02|00:49:41|1712033381|grocery_pos|350.30|1|Schoen, Kuphal and Nitzsche|45.468018|-123.296009
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|d9b85cda20ec711dfd03341b29895c72|2024-04-03|04:21:05|1712132465|misc_net|686.09|1|Lehner, Mosciski and King|45.159171|-123.482247
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|6b969f30aefa95414d7338228c03db74|2024-04-03|19:43:54|1712187834|shopping_net|806.48|1|Romaguera, Cruickshank and Greenholt|45.271866|-122.500039
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|cadd756b710b53e53452e987aafb0027|2024-04-03|16:43:13|1712176993|shopping_net|986.62|1|Ruecker, Beer and Collier|45.814931|-123.364770
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|77b86cf42dbd699a320f170899d7af2c|2024-04-03|23:41:55|1712202115|shopping_pos|1014.07|1|Mohr Inc|46.317249|-122.472864
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|b3634f44562002bd585f2e845362c52d|2024-04-03|22:04:53|1712196293|misc_net|912.57|1|Parisian, Schiller and Altenwerth|45.774562|-123.128536
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|3a2a7621562e1f8035f7ca581e244e05|2024-04-03|23:51:50|1712202710|shopping_pos|698.36|1|Baumbach, Strosin and Nicolas|44.766767|-122.828246
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|ccd09e3c1632d9adaaa9c0d9900817b0|2024-01-28|03:51:40|1706431900|grocery_net|81.65|0|Murray Ltd|44.789433|-123.352070
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|7762b1c36c2fb7d3f91a68019c982f3f|2024-02-05|03:25:48|1707121548|grocery_pos|78.79|0|Koepp-Parker|44.820587|-122.175188
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|06582946ff5d463b5ed10e91270e5b7a|2024-01-07|05:04:48|1704621888|gas_transport|68.41|0|Rodriguez Group|45.375194|-121.909169
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|0e960929f03df9f3abdde21b3533dd9b|2024-02-25|10:32:23|1708875143|misc_net|97.20|0|Flatley-Durgan|44.888566|-122.119011
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|b6557c581e1e646050cedb5fdb83f2f7|2024-01-20|00:26:07|1705728367|gas_transport|79.00|0|Schmitt Inc|44.606208|-122.349810
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|a9d2c5d60810735693718c33eaf5f672|2024-01-14|04:05:43|1705223143|gas_transport|52.13|0|Zieme, Bode and Dooley|45.732081|-122.222644
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|cfe206d01c81a62af152a3680f5a300e|2024-02-25|04:02:03|1708851723|misc_net|63.22|0|Kerluke PLC|45.017558|-122.990608
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|76cb950431829795c18959419508dd9e|2024-02-22|04:48:56|1708595336|misc_net|84.86|0|Bogisich-Homenick|45.615863|-121.583748
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|62b62e462e35f5d46a09f085c5fced10|2024-01-05|10:35:57|1704468957|gas_transport|65.59|0|Ledner-Pfannerstill|44.920452|-123.160720
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|3774187e2085fa4c9ea6fabd5166eba0|2024-01-07|05:45:01|1704624301|gas_transport|64.50|0|Friesen-Stamm|44.769967|-121.630536
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|e2ad04a6f0d90ee529695b29d0087a19|2024-01-12|07:32:19|1705062739|gas_transport|67.53|0|Huels-Nolan|45.985575|-123.181342
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|6aea0fb2e233d3eafb31d72708202faa|2024-02-12|10:33:07|1707751987|grocery_pos|91.54|0|Huel, Hammes and Witting|45.390125|-122.395757
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|b83af126c12d887b3ce4deda293df400|2024-01-24|01:28:35|1706077715|grocery_net|60.66|0|Swift, Bradtke and Marquardt|46.104660|-123.325639
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|047891fb1e1cea3e804a5b1bc2fcda87|2024-01-19|03:49:51|1705654191|gas_transport|67.68|0|Bernhard Inc|45.794602|-121.956590
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|e78d14dc0756e210fe4602229f5d2291|2024-01-31|03:56:22|1706691382|grocery_pos|89.24|0|Miller-Hauck|45.949596|-123.389885
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|679a43566e51fcee46ce1e4815dcd725|2024-02-20|02:17:15|1708413435|misc_net|91.07|0|Jones, Sawayn and Romaguera|45.760311|-122.660512
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|28d1ffd3628b6183a95e33df230bdb5e|2024-01-07|10:17:43|1704640663|gas_transport|36.48|0|Connelly, Reichert and Fritsch|45.270600|-121.812807
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|ba5248212bb5c2fa13a67420d8e2216a|2024-01-14|02:45:13|1705218313|gas_transport|71.24|0|Emard Inc|44.585258|-123.473339
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|91c888ecb8137a0127dee83472f4f176|2024-01-25|07:41:51|1706186511|grocery_net|77.31|0|Adams, Kovacek and Kuhlman|46.288881|-123.087807
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|1d1691f48534b72782686b9d2fd5d763|2024-01-11|11:46:57|1704991617|gas_transport|78.65|0|Raynor, Feest and Miller|44.520537|-122.212434
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|959c6398ef2f351b14d40967c574b5a5|2024-02-19|10:17:12|1708355832|misc_net|68.10|0|Hayes, Marquardt and Dibbert|45.322862|-123.300586
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|58edfca318fc37fc64113d6632f01922|2024-01-18|02:28:44|1705562924|gas_transport|58.31|0|Olson, Becker and Koch|45.625756|-121.571113
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|4aa236506e32fa53419ed69fd13547eb|2024-01-24|04:10:49|1706087449|grocery_net|35.30|0|Hintz-Bruen|44.416122|-122.756706
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|faedfd79d540e961748f7abf344d8b88|2024-02-02|03:19:13|1706861953|grocery_pos|69.34|0|Heller, Gutmann and Zieme|44.407215|-123.416319
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|133b7c77428c73ecb32abd36b4c8b0cc|2024-02-01|10:27:55|1706801275|grocery_pos|84.46|0|Lockman Ltd|44.505431|-122.069915
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|53ceb2708368a9840c7e1fc4d3005e69|2024-01-09|03:58:43|1704790723|gas_transport|83.08|0|Parisian and Sons|45.860407|-122.576667
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|acc5b86d5dbfde2c11a6d8b675b2595f|2024-01-14|02:09:35|1705216175|gas_transport|52.59|0|Jenkins, Hauck and Friesen|46.261102|-121.587156
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|d2396469f73d3f74a228a3537b9e3a9f|2024-02-25|00:14:53|1708838093|misc_net|79.34|0|Dach-Nader|44.528316|-121.648520
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|446ec7c171050f2175ed73aa7d2deb34|2024-01-11|11:55:20|1704992120|gas_transport|69.56|0|Rodriguez Group|46.054457|-122.012173
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|1b1247d0ac9d31b2bd1a4c987b17ba6b|2024-02-04|00:44:06|1707025446|grocery_pos|71.46|0|Deckow-O'Conner|45.778272|-122.521052
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|9a88ff698557264ac8a8bcfb74e20f18|2024-02-24|08:38:13|1708781893|misc_net|122.23|0|Bogisich-Homenick|44.354464|-121.746978
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json|7d99ab9d2980e617863bf1658d8a930c|2024-01-28|07:05:11|1706443511|grocery_net|49.48|0|Wuckert-Walter|44.755107|-123.516861
