ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|a2f827e10000c384304282946b0e7e8c|2024-05-24|01:52:47|1716529967|grocery_pos|297.01|1|Cole PLC|42.322063|-74.243061
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|a34e51141286517c8f62c4f36533c4af|2024-05-24|00:06:38|1716523598|grocery_pos|284.71|1|Murray-Smitham|42.806126|-73.632189
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|eb3d13aec675dc3a4216f47dbb4fc0c6|2024-05-25|23:10:20|1716693020|kids_pets|789.19|1|Waelchi-Wolf|43.260875|-74.689810
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|7275798ff33ba471e951570eb14ce8bf|2024-05-25|23:01:57|1716692517|misc_net|681.94|1|Rodriguez, Yost and Jenkins|43.875405|-74.025758
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|9df65c0a78a126f256064a97f7eaa89d|2024-05-25|15:27:34|1716665254|shopping_net|906.65|1|Romaguera, Cruickshank and Greenholt|42.470864|-73.150205
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|d7435ff9be1ae2604b561f04dc798385|2024-05-24|23:35:24|1716608124|misc_net|278.07|1|Bogisich-Homenick|42.051710|-73.328665
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|59855ba0e3d98b82a50146db502dc884|2024-05-25|23:55:47|1716695747|home|19.90|1|Champlin-Casper|43.340301|-74.294643
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|7a3fa709ec53b3b114e9a17911c803ca|2024-01-26|11:42:35|1706287355|grocery_pos|54.92|0|Hackett-Lueilwitz|43.289410|-73.784695
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|877438c2a2f7d216c600d1ef87230860|2024-03-19|00:07:45|1710821265|shopping_pos|105.60|0|Mayert Group|42.310042|-73.278153
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json|1f8c715e32d5a9fe6641bdf9eb567f1b|2024-03-19|10:39:28|1710859168|shopping_pos|87.72|0|Botsford Ltd|42.176648|-73.568985
