ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|c47c70481b05d0df088c136dd8e433b0|2024-05-01|00:23:35|1714537415|gas_transport|6.77|1|Robel, Cummerata and Prosacco|31.581256|-92.259570
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|98b6dbb2a1f7f0a4e214cb2139ac1d47|2024-05-02|23:26:50|1714706810|misc_pos|843.66|1|Wiza LLC|30.862687|-92.700427
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|4a01e7e4c7834c842b59a2b4ad1817ee|2024-05-01|23:17:57|1714619877|misc_net|663.15|1|Koelpin and Sons|30.904120|-92.907997
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|dff83e177698048261bf87c7015ec448|2024-05-02|23:06:35|1714705595|shopping_net|7.06|1|Labadie, Treutel and Bode|30.963532|-93.042361
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|32450b659dde5cb3b631fbb8c74e03b9|2024-05-01|20:17:25|1714609045|misc_net|1139.66|1|Herman, Treutel and Dickens|31.931433|-92.574811
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|c4988203e4928412b552fb101fbd978d|2024-05-02|22:20:13|1714702813|shopping_net|1064.39|1|Kuhic LLC|31.463134|-91.768376
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|0eee84a4346d46bfc84f027e31748867|2024-05-02|22:14:34|1714702474|travel|8.81|1|Gislason Group|30.483728|-92.344730
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|c0ab5a337d1c915c2e39c695f1367719|2024-01-14|11:36:59|1705250219|gas_transport|80.33|0|Stroman, Hudson and Erdman|30.403538|-91.906256
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|97e91d74dc5fde6bc3db76700c5db73a|2024-01-12|04:46:54|1705052814|gas_transport|75.85|0|Harris Inc|31.284016|-93.318548
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|9db7f57c9e7fabf321adb568a6509ea9|2024-04-03|09:25:23|1712150723|food_dining|50.80|0|Kihn-Fritsch|30.267122|-92.813434
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|d176a1dd06ae123b8d1d6c9c1fed223b|2024-01-16|08:45:48|1705412748|gas_transport|89.13|0|Berge LLC|30.573923|-93.231645
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|fd69bb3f6ad9c96da05c06f85f4b562a|2024-03-28|09:51:03|1711633863|entertainment|49.99|0|Kassulke Inc|30.318618|-93.580677
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|116629f1f187f68c4b3fe2f8223b4da1|2024-01-13|09:48:45|1705157325|gas_transport|62.00|0|Cummerata-Jones|30.425487|-91.887300
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|294ebf43e6e7a423087cf7819a485afb|2024-01-05|09:01:14|1704463274|gas_transport|76.88|0|Conroy-Cruickshank|30.786905|-92.566058
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|859b11f0a1c8f8886ee605aa74ca3a74|2024-03-27|07:35:07|1711539307|entertainment|45.13|0|Abshire PLC|31.426518|-91.655751
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|25526d295fb1b85fc81601d4622831ab|2024-02-08|07:58:54|1707397134|grocery_pos|74.04|0|Bailey-Morar|30.469750|-92.763848
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|f7437b80016c6569c9d79828b835c549|2024-03-16|07:21:22|1710588082|shopping_pos|68.67|0|Morissette PLC|30.148899|-92.761854
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|2de30791af17e86a5825d5310f6c85cc|2024-03-09|09:45:19|1709995519|shopping_pos|70.28|0|Torphy-Goyette|30.129511|-93.395890
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|cc18427d5666ca196b84c549467818f4|2024-02-24|01:15:48|1708755348|misc_pos|69.87|0|Kemmer-Buckridge|30.753352|-91.730003
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|da4e1c3a7971f451a7a44cf4da684979|2024-02-10|11:25:08|1707582308|grocery_pos|66.50|0|Padberg-Welch|31.449371|-93.122063
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json|da72b0a8d037cd806e9c3b36d24b91e1|2024-02-15|11:21:52|1708014112|misc_net|67.20|0|Koelpin and Sons|31.816412|-93.252497
