ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Jonathan|Johnson|M|863 Lawrence Valleys|Taunton|MA|02780|41.905|-71.1026|49036|Accounting technician|1998-10-03|888022315787|adults_2550_male_urban.json
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Sherman|IL|62684|39.9121|-89.5877|5111|Medical laboratory scientific officer|1929-05-22|888335239225|adults_50up_male_urban.json
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|Salina|KS|67401|38.8237|-97.6421|51499|Community arts worker|1962-06-18|245877882397|adults_50up_male_urban.json
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|North Las Vegas|NV|89030|36.2115|-115.1241|214518|Plant breeder/geneticist|1977-03-06|465378164447|adults_2550_female_urban.json
479-94-0888|4065133387262473|Danielle|Leblanc|F|108 Tanya Terrace Apt. 267|Lovelady|TX|75851|31.0564|-95.5501|5050|Quarry manager|1984-12-27|950105810049|adults_2550_female_urban.json
061-22-6210|630447468723|Cheryl|Robinson|F|805 Brendan Neck|Alexandria|IN|46001|40.2561|-85.6681|10459|Retail buyer|1962-08-23|940251608167|adults_50up_female_urban.json
162-08-8321|2222913619399092|Bradley|Sandoval|M|3534 Anderson Rue Suite 751|Idaho Falls|ID|83406|43.4732|-111.9661|101543|Acupuncturist|1995-01-26|684868121383|adults_2550_male_urban.json
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json
620-27-5618|4874016400529|Mandy|Green|F|680 Charles Spurs Apt. 805|Bayville|NJ|08721|39.9147|-74.1905|20512|Television floor manager|1966-08-02|161286867170|adults_50up_female_urban.json
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|Fort Lauderdale|FL|33324|26.1255|-80.2644|711693|Maintenance engineer|1951-08-16|903253916954|adults_50up_male_urban.json
229-04-3165|6541458685014295|Tonya|Baker|F|655 Obrien Pass|Somerton|AZ|85350|32.5634|-114.7127|21214|Commercial art gallery manager|1989-09-29|989496879843|adults_2550_female_urban.json
195-33-0728|3508835615951480|Ellen|Ortiz|F|482 Robert Light Apt. 994|Silver Spring|MD|20906|39.084|-77.0613|282095|Optician, dispensing|1960-08-14|917181406434|adults_50up_female_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Tullahoma|TN|37388|35.3468|-86.22|24494|Engineer, broadcasting (operations)|1956-01-06|767589450881|adults_50up_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Hillsboro|OR|97124|45.5387|-122.9636|92886|Health and safety inspector|2004-01-23|857987636625|young_adults_male_urban.json
497-81-3920|4143455812236231660|Gary|Owens|M|66909 Woods Knoll|Honey Grove|TX|75446|33.5985|-95.9109|3180|Hydrogeologist|1941-09-26|428437913341|adults_50up_male_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Humble|TX|77396|29.9507|-95.2622|194500|Programme researcher, broadcasting/film/video|1976-04-04|370770979513|adults_2550_male_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Belvidere|IL|61008|42.2595|-88.8509|34311|Insurance risk surveyor|1975-11-24|636119440405|adults_2550_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Avila Beach|CA|93424|35.1903|-120.7178|1261|Solicitor|1944-11-15|531608037091|adults_50up_female_rural.json
447-94-9708|4314737996507527356|Rebecca|Peterson|F|083 John Lodge Suite 837|Martin|KY|41649|37.5708|-82.7819|2631|Recycling officer|1968-10-26|869508288813|adults_50up_female_urban.json
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json
304-30-5913|4082400842710944|John|Alexander|M|47116 Jones Roads|Oregon City|OR|97045|45.3377|-122.57|51359|Astronomer|1975-08-09|163860419795|adults_2550_male_urban.json
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Pottstown|PA|19464|40.2635|-75.6172|62826|Accountant, chartered|1957-02-24|495675808653|adults_50up_male_urban.json
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Sharon Hill|PA|19079|39.9035|-75.2695|9168|Teacher, adult education|2002-06-16|317489104406|young_adults_male_urban.json
128-60-4983|3548877190659403|Brandon|Hayden|M|490 Thomas Run|Georgetown|DE|19947|38.679|-75.3932|18799|Private music teacher|1975-12-10|308877180672|adults_2550_male_urban.json
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Philadelphia|PA|19140|40.0118|-75.1456|1526206|Arts development officer|1975-03-05|292932052116|adults_2550_female_urban.json
135-37-7179|3510932480861310|Julia|Wilson|F|4846 Baird Gardens|Covington|KY|41011|39.0708|-84.5212|38889|Programmer, multimedia|1987-09-08|161281455424|adults_2550_female_urban.json
196-77-8328|3514658404499723|Jeremy|Washington|M|867 Kane Square Apt. 963|Chesnee|SC|29323|35.1154|-81.8678|14446|Paediatric nurse|1994-01-19|348079814698|adults_2550_male_urban.json
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Glenmora|LA|71433|31.0262|-92.616|4367|Social research officer, government|1961-02-03|688554816658|adults_50up_male_urban.json
894-70-0589|3534316117240050|Rebecca|Carter|F|2386 George Common Suite 937|Abingdon|MD|21009|39.4744|-76.2997|29766|Television production assistant|1971-08-08|254017756402|adults_50up_female_urban.json
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Austin|TX|78759|30.4036|-97.7526|940359|Event organiser|1958-09-09|883075619976|adults_50up_male_urban.json
225-82-3116|3521047095214560|Christopher|Anderson|M|842 Sloan Orchard Suite 517|Kailua Kona|HI|96740|19.6531|-155.9798|33321|Call centre manager|1971-12-27|829533234908|adults_50up_male_urban.json
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Amelia Court House|VA|23002|37.3428|-77.9841|10439|Commercial horticulturist|1967-09-04|47844977968|adults_50up_male_urban.json
312-64-1903|2248267586926175|Luis|Crosby|M|53773 Garcia Spur Suite 850|Pleasant Hill|MO|64080|38.7859|-94.244|12866|Occupational therapist|2003-04-07|207343331995|young_adults_male_urban.json
869-59-1502|4900532931839331|Gary|Hernandez|M|2284 Daniel Way|Miami|FL|33175|25.7341|-80.4068|1737737|Agricultural engineer|1963-02-27|13450992449|adults_50up_male_urban.json
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json
437-88-1769|38115921249985|Michelle|James|F|8961 Melissa Run Apt. 673|Kokomo|IN|46902|40.4509|-86.1352|73330|Patent attorney|2007-08-31|907693799652|young_adults_female_urban.json
409-54-1558|375452711116152|Robin|Hawkins|F|165 Parrish Stravenue Apt. 494|Luther|MI|49656|44.0545|-85.6826|1534|Management consultant|1995-06-06|631805153549|adults_2550_female_rural.json
218-20-7901|4585149368991|Megan|Hawkins|F|24455 Howard Divide Suite 120|Lynchburg|VA|24503|37.4376|-79.205|99291|Chemist, analytical|1992-04-06|583025110578|adults_2550_female_urban.json
386-54-7433|345459910229014|Denise|Stanley|F|764 Kari Crescent Suite 614|Flint|MI|48504|43.0573|-83.7498|162969|Therapist, horticultural|2001-04-27|577615689420|young_adults_female_urban.json
316-06-3613|6011034324451072|Paul|Thompson|M|388 Jones Wall Apt. 607|Edmond|OK|73034|35.6665|-97.4798|116001|Careers adviser|1961-09-12|347300118003|adults_50up_male_urban.json
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Bryan|TX|77803|30.6913|-96.3714|89322|Clothing/textile technologist|1984-08-04|560624678846|adults_2550_male_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Schenectady|NY|12302|42.88|-73.9913|162643|Management consultant|1940-08-06|79488406665|adults_50up_female_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Fresh Meadows|NY|11366|40.7272|-73.7949|55784|Production designer, theatre/television/film|1963-07-24|889502767451|adults_50up_female_urban.json
732-11-8267|4037788925546656|Michael|Williams|M|51864 Cummings Shoals Apt. 519|Denver|CO|80228|39.6888|-105.156|990452|Counsellor|1984-09-08|386189485379|adults_2550_male_urban.json
672-90-6422|4486528168505423|Trevor|Peterson|M|32214 William Plains Apt. 592|Franktown|CO|80116|39.3728|-104.7256|3942|Therapist, speech and language|1987-07-22|169121724065|adults_2550_male_urban.json
186-89-2713|3506537947383471|Stuart|Lee|M|4688 Burch Viaduct Apt. 924|Minneapolis|MN|55424|44.9052|-93.3403|1022298|Associate Professor|1956-07-09|531034820387|adults_50up_male_urban.json
568-14-8453|2261247826137504|Jennifer|Sanders|F|61530 Galvan Villages Suite 220|Alice|TX|78332|27.7432|-98.0836|28710|Historic buildings inspector/conservation officer|1933-08-18|914473253283|adults_50up_female_urban.json
