ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|0a60d4ae5e18efd8149fa6361eaa9876|2024-03-12|02:42:11|1710225731|grocery_pos|10.31|1|Doyle Ltd|37.268996|-121.382344
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|d3123b92c820f9b0dd8b94771a8a61b7|2024-03-13|02:52:25|1710312745|misc_net|284.12|1|Stehr, Jewess and Schimmel|37.699848|-122.364615
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|54104ea6c0144d2108dbd8fcefc798ae|2024-03-12|02:01:48|1710223308|grocery_pos|321.75|1|Koepp-Parker|36.600957|-121.177298
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|79ad1ccc568ed8558703d705b8d0dc51|2024-03-12|06:48:36|1710240516|grocery_pos|289.32|1|Moen, Reinger and Murphy|37.360310|-120.941779
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|26b1a4d91889ae0b68290bb8ab9733c4|2024-03-12|00:54:09|1710219249|gas_transport|298.14|1|Connelly, Reichert and Fritsch|37.715229|-121.077903
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|ece85d268d16b535cfc52a7d997e7bce|2024-03-12|05:16:38|1710234998|grocery_pos|299.42|1|Miller-Hauck|37.692421|-122.359399
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|7991159520f0eb1ee4317e4af7a1884c|2024-03-12|00:44:54|1710218694|misc_net|878.72|1|Hayes, Marquardt and Dibbert|37.259284|-121.171004
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|d8f98d182cdb6677b07b6223bfde9d3d|2024-03-12|00:23:37|1710217417|grocery_pos|723.69|1|Pacocha-O'Reilly|36.892899|-122.730228
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|07bea79096af8deea00b1974829ec3be|2024-03-13|22:55:11|1710384911|shopping_net|790.76|1|Bashirian Group|37.775892|-121.047642
715-55-5575|4351161559407816183|Elaine|Fuller|F|310 Kendra Common Apt. 164|San Jose|CA|95134|37.4087|-121.9406|973849|Professor Emeritus|1999-06-07|917558277935|young_adults_female_urban.json|8d348262b6ecb514f74835b01aeb2173|2024-03-13|22:43:17|1710384197|entertainment|8.07|1|Abshire PLC|37.495344|-121.244941
