ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|bf2df412c483f81c212ce4fd0eab2e18|2024-03-12|01:34:44|1710221684|misc_net|12.32|1|Kerluke, Considine and Macejkovic|48.487047|-121.890901
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|8b0752ea7c29b4870295ccbe6537b200|2024-03-12|02:59:18|1710226758|gas_transport|15.79|1|Huels-Nolan|48.220914|-122.241806
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|af107f270a509812ab6892dfcc9c9df7|2024-03-12|01:52:08|1710222728|gas_transport|9.95|1|Kutch, Hermiston and Farrell|47.817802|-123.229878
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|56fa305d0342acd7412fa30087cd5776|2024-03-12|01:17:52|1710220672|grocery_pos|9.56|1|Lockman Ltd|48.161490|-122.721693
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|dc0822ac5b3599cdf3ce239155ef07dc|2024-03-12|08:22:52|1710246172|grocery_net|267.86|1|Dicki Ltd|47.884462|-122.130275
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|b5056f5ff6f40f097c0c028a5444f326|2024-03-12|02:05:41|1710223541|grocery_net|287.63|1|Cassin-Harvey|46.951016|-121.412978
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|8668c6ff5b7014536eeaeda75477acdc|2024-03-12|03:10:22|1710227422|grocery_pos|668.74|1|Koepp-Witting|47.663378|-121.869266
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|92ad18bae303de3d7ed57d5057b9b932|2024-03-13|00:40:45|1710304845|misc_net|776.50|1|Welch Inc|46.881264|-121.745913
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|d06a716dc06d7f8f8c394c2d5ac33174|2024-03-13|23:40:36|1710387636|shopping_net|1052.09|1|Kassulke PLC|48.411440|-122.324864
406-83-7518|4238849696532874|Brandon|Williams|M|26916 Carlson Mountain|Seattle|WA|98122|47.6116|-122.3056|837792|Seismic interpreter|2001-12-26|947268892251|young_adults_male_urban.json|c940fb61ab5dc89717451cbb66116c76|2024-01-26|01:56:20|1706252180|gas_transport|58.51|0|Kling Inc|48.449316|-122.002998
