ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|2367670dfa2696bef55ced0b621fc459|2024-05-12|01:11:21|1715490681|grocery_pos|11.79|1|Kutch and Sons|41.047660|-75.850890
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|a86cb3b33fe850fec7ff5829fc5fcaa8|2024-05-12|02:05:30|1715493930|grocery_net|282.11|1|Kemmer-Reinger|41.382245|-76.222120
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|f78bdad2f040ce667eaf2aaeac51af5b|2024-05-13|22:17:10|1715653030|shopping_net|275.54|1|Bashirian Group|40.073597|-76.220521
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|5d6562bc1a48c3ed2050264c87b10594|2024-05-13|22:25:08|1715653508|shopping_net|965.14|1|Little, Gutmann and Lynch|41.107803|-75.451779
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|f655c5ec4aeb19a52354c4a043ff4413|2024-05-13|19:12:42|1715641962|food_dining|1051.64|1|Connelly PLC|39.955514|-75.024025
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|5b145cf1cc9404d3f29f4ec042981125|2024-05-13|22:01:58|1715652118|shopping_pos|1054.23|1|Metz-Boehm|40.829558|-75.625292
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|ed6dba5a4d7f7b059c1f9a075dcf6d2e|2024-05-12|23:58:33|1715572713|grocery_pos|1103.96|1|Barton Inc|41.093810|-75.547305
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|e48795ad50772881b10f2232e079a230|2024-05-13|23:13:41|1715656421|shopping_pos|830.38|1|Nitzsche, Kessler and Wolff|41.266989|-76.114856
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|f523168a1f36a351760b12f32b05217d|2024-05-13|22:41:50|1715654510|shopping_pos|915.45|1|Lynch Ltd|39.833029|-75.991768
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|7293a1e2466444db00aa0135cafff93e|2024-05-13|22:31:27|1715653887|shopping_net|135.68|1|Baumbach, Feeney and Morar|40.971227|-76.322772
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|f5bade930fc6af001ed29aee63f435f1|2024-02-24|03:51:06|1708764666|misc_pos|72.96|0|Wiza, Schaden and Stark|41.088421|-75.503581
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|150243c768dc6b110899048457225552|2024-03-11|09:18:53|1710163133|shopping_pos|77.22|0|Kris-Padberg|40.360961|-75.386218
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|452a02383102bff6e2da53c84a4ac625|2024-03-22|02:54:51|1711090491|shopping_pos|66.94|0|Conroy Ltd|41.774014|-75.540451
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|328126c15a696231f1a2ca6d65468042|2024-03-03|07:56:23|1709470583|shopping_net|57.02|0|Medhurst PLC|40.284986|-76.594690
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|574cde910707fb01580b0bd2d90ab392|2024-03-14|03:23:38|1710401018|shopping_pos|64.10|0|Metz-Boehm|40.790798|-75.648935
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|89622aa0af5beb8041514968ddf63a43|2024-04-05|05:39:01|1712309941|food_dining|72.44|0|Kuphal-Toy|41.272266|-75.148188
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|74256aefd22afacaa71396ebc13d924c|2024-03-02|10:13:31|1709392411|shopping_net|64.65|0|Price Inc|40.590281|-75.054077
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|2037b1a8c10d5fdc6bef36ef1229ee74|2024-03-11|03:08:37|1710140917|shopping_pos|57.29|0|Jast-McDermott|40.314293|-75.552259
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Lehighton|PA|18235|40.8299|-75.6974|19353|International aid/development worker|1967-05-30|718172762479|adults_50up_male_urban.json|555f9fa1f5093207860bd334b6286db6|2024-04-02|03:54:32|1712044472|food_dining|93.86|0|Kilback Group|41.230942|-76.315831
