ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|b45565a696fc0edff9d9a129ebc8a887|2024-01-05|00:34:48|1704432888|gas_transport|10.75|1|Schmitt Inc|34.273575|-82.757604
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|2348784f8d60caeb46b4063250bd6ee4|2024-01-05|02:12:11|1704438731|shopping_net|6.06|1|Kuhic, Bins and Pfeffer|34.208137|-81.483097
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|003894c30bdc79905cb10f249e2bf5f5|2024-01-05|03:21:52|1704442912|misc_pos|1118.01|1|Boehm, Block and Jakubowski|35.319012|-83.066235
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|a13e5e4613099ec4a1feb4491ba47d6b|2024-01-05|03:15:56|1704442556|shopping_net|988.10|1|Kuhic, Bins and Pfeffer|34.193326|-81.623151
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|8dcf1ce974a63e095eca9d6ea0bf3533|2024-01-06|08:27:05|1704547625|grocery_pos|61.41|0|Huel, Hammes and Witting|34.482982|-83.064676
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|fc0ddd0ea6d2c528f1d13a38cc5ef6b3|2024-01-02|06:53:41|1704196421|gas_transport|94.97|0|Zieme, Bode and Dooley|34.130875|-81.752255
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|fa65072f4ca9f49e58d249fa2c9e7201|2024-01-06|06:56:47|1704542207|grocery_pos|189.93|0|Doyle Ltd|35.573385|-82.618091
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|0e9fc6e92553a62257a778bf13f180c0|2024-01-08|04:31:16|1704706276|misc_pos|182.24|0|Boehm, Block and Jakubowski|35.046271|-83.171502
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|2230444819d206b7a3dd3564257c3dd0|2024-01-04|00:50:21|1704347421|grocery_net|222.67|0|Harris, Gusikowski and Heaney|35.460846|-81.589670
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|ec7d1f5ea13a95a654efb1560fb4be6a|2024-01-09|10:32:41|1704814361|misc_pos|217.07|0|Wisozk and Sons|34.368319|-81.455009
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|b2425bb89e219c5a44210765278c9f48|2024-01-07|01:29:51|1704608991|misc_net|117.08|0|Bogisich-Homenick|34.397843|-82.341459
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|c057e2ceb2f4e9f669035ea97254ff11|2024-01-04|00:37:39|1704346659|grocery_net|259.35|0|Harris, Gusikowski and Heaney|35.429724|-81.866852
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|5f9b744f59608c0b98be6cc66ddef8ac|2024-01-06|06:54:59|1704542099|grocery_pos|113.47|0|Huel, Hammes and Witting|35.267105|-81.880909
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|1a15b64c4eb1269e4ec159946fcbb8a4|2024-02-01|20:08:44|1706836124|travel|29.74|0|Block-Hauck|33.730210|-82.663621
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|05fecdc455069cc773a215e98be33f24|2024-01-16|15:17:45|1705436265|shopping_pos|6.01|0|Mayert Group|34.894860|-83.069941
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|dcb6571c4045a8b62b4e8c2079893d0f|2024-01-24|21:09:41|1706148581|home|1.53|0|Gulgowski LLC|34.079840|-81.930544
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|76fa1d77a3d21409657933b9f051322d|2024-01-27|20:50:38|1706406638|kids_pets|134.73|0|Bode-Rempel|35.058902|-83.156243
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|73044cc974c44c4288d2a0dc9df25035|2024-01-15|23:14:53|1705378493|shopping_pos|1.45|0|Mayert Group|34.278423|-82.522981
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|6a93d8dfe3dc95f9b3c5c85ee0ca2968|2024-01-23|18:41:39|1706053299|home|22.69|0|Beier and Sons|33.854735|-83.241849
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|9c4fdb2294be357f0c81f8b8e1cb8b02|2024-01-26|19:59:00|1706317140|home|88.72|0|Lynch-Wisozk|35.249057|-81.640230
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|68aa81ba8ad8dcda60800e39cd277e5b|2024-01-11|15:13:17|1705003997|misc_pos|44.34|0|Boehm, Block and Jakubowski|34.431179|-82.766428
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|71be4b85c764135a86bd939ff1dc7144|2024-01-23|20:13:23|1706058803|home|119.15|0|Lynch-Wisozk|34.847145|-82.477769
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|cb2626ed023d68f2bfc1485434cd41f8|2024-01-21|13:45:56|1705862756|food_dining|1.08|0|Schuppe-Schuppe|33.966370|-82.247246
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|9d71487c3dc9708163445a0f45a02618|2024-01-15|22:57:46|1705377466|shopping_pos|30.28|0|Mayert Group|35.173231|-82.396866
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|0696d6155f5520c1312a5256f536bb7b|2024-01-27|23:57:41|1706417861|kids_pets|38.46|0|Pacocha-Weissnat|35.322179|-82.062586
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|071e127b49e8d7db6d15155aa188ba76|2024-01-21|19:43:12|1705884192|health_fitness|13.32|0|Hamill-D'Amore|33.924935|-82.266036
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|ed0dcfdba36d4f1bf09a794dafcd3eec|2024-01-23|18:45:13|1706053513|health_fitness|7.60|0|Hamill-D'Amore|35.499658|-81.738437
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|35be60f1c45ea3fae8366ae387c22ce2|2024-01-24|13:20:58|1706120458|home|9.05|0|Gulgowski LLC|35.133753|-82.041944
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|43994ffd595c6ee746424eeec4b91786|2024-01-26|23:40:14|1706330414|home|13.62|0|Gulgowski LLC|35.074057|-82.896908
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|27e3f8b88d7fd6fdc1f248398b7b8c2d|2024-01-20|12:38:58|1705772338|food_dining|16.28|0|Kuphal-Toy|35.221432|-82.300244
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|4cfcccb19d55f98391e68a044921a750|2024-01-18|22:22:14|1705634534|entertainment|78.14|0|Larkin, Stracke and Greenfelder|34.491607|-82.711968
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|78d1662428cd1941594765a269bbc673|2024-01-14|16:00:09|1705266009|shopping_pos|8.47|0|Mayert Group|33.931079|-82.483119
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|2263e12dd1358139e780c12a2e5fe82a|2024-01-22|20:57:22|1705975042|health_fitness|3.29|0|Mueller, Gerhold and Mueller|35.599580|-82.125756
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Fountain Inn|SC|29644|34.6578|-82.2441|18578|Management consultant|1977-08-06|79488406665|adults_2550_female_urban.json|dcf01e958f4f8f40685965ddfdf6fbf5|2024-01-22|21:04:19|1705975459|health_fitness|3.73|0|Torphy-Kertzmann|34.027761|-82.051839
