ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|9acec512986d219c4fa2ebbebf1d6897|2024-01-24|01:04:52|1706076292|misc_net|276.09|1|Bernier, Volkman and Hoeger|48.089146|-122.096591
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|51f632b06f474ae510a77b02e0a91a1a|2024-01-24|01:19:59|1706077199|misc_net|304.61|1|Jones, Sawayn and Romaguera|46.972744|-122.012813
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|9b8deca5fed7e08813b4b57d2df18de9|2024-01-24|01:43:37|1706078617|grocery_pos|319.80|1|Miller-Hauck|48.605886|-122.595585
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|a4ca019b23c2f04697773a3947975a30|2024-01-24|03:03:00|1706083380|grocery_pos|309.81|1|Schultz, Simonis and Little|46.867459|-122.900219
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|546e9f1f8b30eb43c0def0448059acc8|2024-01-24|03:15:13|1706084113|grocery_pos|309.72|1|Casper, Hand and Zulauf|47.407575|-121.462479
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|15e421e76845685eb5b7225ad0bfa47d|2024-01-24|02:42:36|1706082156|grocery_pos|913.79|1|Lockman Ltd|47.691531|-121.826854
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|93b964428c9d3ffd5d67ce99d7386e6b|2024-01-24|03:33:21|1706085201|grocery_pos|779.55|1|Goldner, Kovacek and Abbott|47.573750|-121.751522
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|3c1b3984f37f7c665746a5f704a60192|2024-01-24|01:55:26|1706079326|misc_net|889.53|1|Flatley-Durgan|48.707816|-122.163275
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|f833afacc7d5ab48b06e33a2cd7d8a3f|2024-01-25|13:03:02|1706205782|personal_care|16.39|1|Medhurst, Cartwright and Ebert|48.122399|-122.880324
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|212ef8ed7253fd5349d1209688f39a5c|2024-01-25|22:27:48|1706239668|kids_pets|23.21|1|Lowe, Dietrich and Erdman|48.024478|-123.079547
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|78effed3c577778896d8801dd57b5446|2024-01-25|22:28:58|1706239738|travel|10.60|1|Ritchie, Oberbrunner and Cremin|47.272083|-122.928849
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|a01b65d36b9a397e144227e5b2696837|2024-02-10|06:15:14|1707563714|grocery_pos|71.49|0|Koepp-Parker|47.123100|-122.799363
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|20ab1e6b9b4c4742fc69c2d4afec2af6|2024-01-16|09:59:26|1705417166|gas_transport|77.13|0|Eichmann, Bogan and Rodriguez|47.804382|-122.756485
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|e96b3a18d5f845ce19d7549d3c9f75e8|2024-02-03|03:37:50|1706949470|grocery_pos|88.91|0|Vandervort-Funk|47.499251|-121.898068
103-10-8809|4251354278496|William|Roman|M|841 Joseph Coves|Lynnwood|WA|98037|47.8392|-122.2855|92865|Surgeon|1993-02-26|297020387114|adults_2550_male_urban.json|bf61b6ccb81470f2f60729e7224b6960|2024-02-04|04:12:51|1707037971|grocery_pos|63.02|0|Goldner, Kovacek and Abbott|47.755684|-121.867334
