ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|4c0ef1a30bee4f04c21c99871a8e03bf|2024-01-07|00:39:03|1704605943|gas_transport|10.96|1|Schmitt Inc|38.489448|-75.029444
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|8361892c453eec77e50ed51e37fabae8|2024-01-07|00:37:58|1704605878|grocery_pos|308.98|1|Lockman Ltd|38.117898|-74.729636
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|af7fbf8110c25022fb155f2c414d91de|2024-01-07|03:15:57|1704615357|grocery_pos|343.24|1|Doyle Ltd|37.683179|-76.036859
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|138ed66b3c9267a7dcddad5249c0a449|2024-01-07|17:16:45|1704665805|grocery_pos|288.90|1|Huel, Hammes and Witting|37.601965|-76.263335
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|deb57985485088c72408a8726bf7f184|2024-01-08|22:47:46|1704772066|shopping_pos|1103.16|1|Mayert Group|38.946910|-75.606600
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|199794e8eea25de140cc02b8b8abe7fc|2024-01-07|22:24:39|1704684279|shopping_net|920.05|1|Kuhic, Bins and Pfeffer|37.255244|-75.764920
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|742ea06434fcad8d4a4adb5a8e4f00b5|2024-01-08|22:40:59|1704771659|shopping_pos|880.82|1|Mayert Group|37.243310|-76.628114
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|314be4715daabc0400823230f9b2d622|2024-01-02|08:54:40|1704203680|gas_transport|82.41|0|Schmitt Inc|37.944519|-76.258111
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|3e519decb076b451a24b5d18dca9b1d2|2024-01-01|06:44:18|1704109458|gas_transport|87.96|0|Zieme, Bode and Dooley|38.993290|-76.485722
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json|4cdf2a00e4c30f08e35d68e30ce6bd49|2024-01-05|00:29:36|1704432576|grocery_pos|87.97|0|Doyle Ltd|37.754108|-75.528672
