ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|993dacaea10900b7bef2c97cd5572843|2024-01-14|03:32:04|1705221124|grocery_pos|23.02|1|Huel, Hammes and Witting|42.173864|-92.187659
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|905e8930931a50fd761e614cc4c08906|2024-01-14|00:08:24|1705208904|grocery_pos|312.80|1|Kutch and Sons|43.609285|-91.023575
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|5f18c085a072f672a06441a0829cf374|2024-01-14|03:48:27|1705222107|gas_transport|324.27|1|Schmitt Inc|43.100760|-91.050603
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|6991c910b5645ab59974689120f42a58|2024-01-15|23:14:20|1705378460|travel|658.10|1|Block-Hauck|42.619465|-92.211754
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|231432adfc61b48ad791dad52e32ceb0|2024-01-14|13:13:42|1705256022|shopping_net|879.78|1|Labadie, Treutel and Bode|42.192254|-91.960537
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|3126d040e0f9bb5473a3384d923ff3b0|2024-01-14|12:37:38|1705253858|misc_net|881.68|1|Kuphal-Bartoletti|44.035359|-92.285108
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|70fdc6e17de0e33493b5028da06a0b7d|2024-01-15|23:12:41|1705378361|shopping_net|982.83|1|Kuhic, Bins and Pfeffer|43.480455|-91.603906
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|5f463236819d1d6e8add26b06d3b18b1|2024-01-14|12:44:23|1705254263|shopping_net|995.42|1|Labadie, Treutel and Bode|42.299835|-91.739340
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|7a1598bef6a0839b53d9ee6fedd8a6d7|2024-01-15|23:41:14|1705380074|home|109.83|1|Gulgowski LLC|42.602949|-92.232677
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Fort Atkinson|IA|52144|43.1339|-91.9134|1261|Event organiser|1943-09-09|883075619976|adults_50up_male_rural.json|66d577ecafcc8fa171f56f25b2acb033|2024-01-14|13:20:37|1705256437|misc_net|403.64|1|Donnelly PLC|43.947722|-90.986735
