ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|cea081611357633a85c3950c12994865|2024-01-07|03:56:50|1704617810|gas_transport|9.88|1|Zieme, Bode and Dooley|38.353932|-96.317947
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|942da19a1fbd5a324a01fbd5a9362c38|2024-01-07|00:12:49|1704604369|grocery_pos|269.62|1|Lockman Ltd|37.198590|-97.607012
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|a03a9f549375fd8dc203c2a7d7f26df1|2024-01-08|23:15:46|1704773746|food_dining|361.38|1|Schuppe-Schuppe|38.547560|-96.872421
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|98f0154ed5fb4b77c430c5adc8ab3162|2024-01-07|23:40:18|1704688818|shopping_net|698.55|1|Labadie, Treutel and Bode|36.693776|-97.410782
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|155076b26c1df3601f59f080c9483922|2024-01-07|18:58:46|1704671926|misc_net|1065.76|1|Huel Ltd|38.627922|-96.499337
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|fbc458fbae957290ee63cf8a899ed975|2024-01-07|22:53:14|1704685994|grocery_pos|132.88|1|Huel, Hammes and Witting|38.395033|-96.890381
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|fd34c91b6a6180ed8531c256ab081f38|2024-01-08|23:52:04|1704775924|kids_pets|19.40|1|Bode-Rempel|38.143120|-97.751520
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|40d79e05a1071eac18c2fbb734d249cc|2024-01-09|03:41:10|1704789670|misc_pos|76.61|0|Boehm, Block and Jakubowski|37.141691|-96.487403
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|1a1706d6308755e16e3c0b5708eb0729|2024-01-10|08:43:44|1704894224|misc_pos|78.05|0|Wisozk and Sons|38.054586|-96.438683
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json|534a984d4659b930d1b0d1b6bea50144|2024-01-03|10:47:40|1704296860|gas_transport|89.04|0|Zieme, Bode and Dooley|37.295460|-96.555071
