ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
115-04-4507|4218196001337|Kathy|Johnson|F|863 Lawrence Valleys|Waldorf|MD|20601|38.6371|-76.8778|78078|Accounting technician|2000-10-03|888022315787|young_adults_female_urban.json
715-55-5575|4351161559407816183|Edward|Fuller|M|310 Kendra Common Apt. 164|Wrentham|MA|02093|42.0617|-71.3396|10955|Professor Emeritus|1976-06-07|917558277935|adults_2550_male_urban.json
167-48-5821|4192832764832|Michael|Cameron|M|05641 Robin Port|Hyattsville|MD|20785|38.9223|-76.8755|150988|International aid/development worker|1988-05-30|718172762479|adults_2550_male_urban.json
406-83-7518|4238849696532874|Ann|Williams|F|26916 Carlson Mountain|Cleveland|OH|44121|41.5277|-81.5323|769341|Seismic interpreter|1996-12-26|947268892251|adults_2550_female_urban.json
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json
246-08-3947|3517182278248964|Vincent|Hickman|M|465 Lam Mission|Compton|CA|90222|33.9099|-118.2357|134901|Community arts worker|1988-06-18|245877882397|adults_2550_male_urban.json
347-03-9639|213193010310510|Kayla|Ramirez|F|82997 Kristen Valley Suite 311|Princess Anne|MD|21853|38.1919|-75.7072|11126|Plant breeder/geneticist|1935-03-06|465378164447|adults_50up_female_urban.json
479-94-0888|4065133387262473|David|Leblanc|M|108 Tanya Terrace Apt. 267|Wichita|KS|67218|37.669|-97.2802|409656|Quarry manager|1966-12-27|950105810049|adults_50up_male_urban.json
061-22-6210|630447468723|Colton|Robinson|M|805 Brendan Neck|Lafayette|LA|70501|30.2361|-92.0083|151705|Retail buyer|1973-08-23|940251608167|adults_50up_male_urban.json
162-08-8321|2222913619399092|Angela|Sandoval|F|3534 Anderson Rue Suite 751|Tavernier|FL|33070|25.0108|-80.5218|5344|Acupuncturist|1987-01-26|684868121383|adults_2550_female_urban.json
103-10-8809|4251354278496|Victoria|Roman|F|841 Joseph Coves|Miami|FL|33132|25.7867|-80.18|1737737|Surgeon|1993-02-26|297020387114|adults_2550_female_urban.json
620-27-5618|4874016400529|Mark|Green|M|680 Charles Spurs Apt. 805|Beacon|NY|12508|41.5097|-73.9634|19880|Television floor manager|1989-08-02|161286867170|adults_2550_male_urban.json
131-06-5051|345331586923222|Stanley|Johnson|M|3421 Brennan Walks Suite 337|Washington|DC|20015|38.9658|-77.068|601723|Maintenance engineer|1971-08-16|903253916954|adults_50up_male_urban.json
229-04-3165|6541458685014295|Victor|Baker|M|655 Obrien Pass|Virginia Beach|VA|23454|36.8282|-76.0237|437994|Commercial art gallery manager|1992-09-29|989496879843|adults_2550_male_urban.json
195-33-0728|3508835615951480|Eric|Ortiz|M|482 Robert Light Apt. 994|North Scituate|RI|02857|41.8439|-71.6242|8412|Optician, dispensing|1944-08-14|917181406434|adults_50up_male_urban.json
312-37-3444|6577738721489511|Robert|Potter|M|32003 Carr Trafficway Apt. 769|Louisville|KY|40272|38.0846|-85.851|736284|Engineer, broadcasting (operations)|1952-01-06|767589450881|adults_50up_male_urban.json
507-52-3998|4163287083172781|William|Larson|M|868 Merritt Summit Suite 743|Bridgewater|NJ|08807|40.5904|-74.6267|37972|Health and safety inspector|1943-01-23|857987636625|adults_50up_male_urban.json
497-81-3920|4143455812236231660|Gary|Owens|M|66909 Woods Knoll|Mason City|IA|50401|43.1499|-93.1954|29837|Hydrogeologist|1975-09-26|428437913341|adults_2550_male_urban.json
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Port Chester|NY|10573|41.0222|-73.6798|38352|Programme researcher, broadcasting/film/video|1986-04-04|370770979513|adults_2550_male_urban.json
285-97-6907|4708053100330923275|Michael|Elliott|M|4529 Kimberly Estates|Bloomfield|CT|06002|41.8316|-72.7249|20486|Insurance risk surveyor|1976-11-24|636119440405|adults_2550_male_urban.json
320-74-6150|6011193149190586|Jessica|Wood|F|67165 Zimmerman Mews Apt. 849|Las Vegas|NM|87701|35.5949|-105.2272|20081|Solicitor|1983-11-15|531608037091|adults_2550_female_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Fredericksburg|VA|22401|38.2995|-77.4772|156008|Recycling officer|1958-10-26|869508288813|adults_50up_male_urban.json
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Mocksville|NC|27028|35.922|-80.537|25839|Astronomer|1970-08-09|163860419795|adults_50up_female_urban.json
312-11-4067|2706999386774968|Eric|Oliver|M|34123 Andrea Estate|Irving|TX|75038|32.8653|-96.9905|217883|Accountant, chartered|2001-02-24|495675808653|young_adults_male_urban.json
609-61-4772|564471349360|Ashley|Walker|F|2102 Larson Views|Saint Paul|MN|55104|44.9532|-93.158|753116|Teacher, adult education|1985-06-16|317489104406|adults_2550_female_urban.json
128-60-4983|3548877190659403|Brandon|Hayden|M|490 Thomas Run|Everett|WA|98201|47.9884|-122.2006|168159|Private music teacher|1942-12-10|308877180672|adults_50up_male_urban.json
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|La Mesa|CA|91941|32.7604|-117.0115|69848|Arts development officer|1972-03-05|292932052116|adults_50up_female_urban.json
135-37-7179|3510932480861310|Joel|Wilson|M|4846 Baird Gardens|Auburn|CA|95603|38.9115|-121.08|45428|Programmer, multimedia|1950-09-08|161281455424|adults_50up_male_urban.json
196-77-8328|3514658404499723|Jeremy|Washington|M|867 Kane Square Apt. 963|Apollo Beach|FL|33572|27.7716|-82.4102|14117|Paediatric nurse|1961-01-19|348079814698|adults_50up_male_urban.json
