ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|1150ede7259bf808180b7f50236b3e47|2024-04-11|00:13:15|1712808795|misc_net|12.05|1|Klocko LLC|41.169225|-88.286404
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|54ffc7be73d01055f40726e88020e225|2024-04-10|09:15:30|1712754930|grocery_pos|295.95|1|Pacocha-O'Reilly|41.724902|-87.321243
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|831b7f0c7d48863de420b0037085eecd|2024-04-10|00:23:45|1712723025|misc_net|282.00|1|Jones, Sawayn and Romaguera|42.590099|-86.793529
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|fd2fedc4b1a31dac22e5ec90505141e6|2024-04-10|02:46:45|1712731605|gas_transport|679.99|1|Harris Inc|42.921078|-88.141345
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|7a540cbecb827feec2135f22aa323dac|2024-04-10|06:44:28|1712745868|grocery_pos|597.90|1|Auer-Mosciski|42.683689|-88.240654
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|b73530ae9c354de06999ed1912dd1d69|2024-04-11|23:23:46|1712892226|shopping_net|1013.75|1|Gottlieb, Considine and Schultz|41.692445|-86.837395
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|77392217117a8b037ccc4adb287e8d5e|2024-04-11|22:37:14|1712889434|shopping_pos|6.78|1|Sawayn PLC|41.159148|-86.761254
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|b99639ea7215565925d29f725a03db29|2024-04-11|22:37:22|1712889442|shopping_net|1074.48|1|Greenholt, O'Hara and Balistreri|42.062516|-88.433236
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|df7ca37e611d30ae90fd764b0f82510b|2024-04-11|23:34:29|1712892869|shopping_net|1000.28|1|Ruecker, Beer and Collier|41.628701|-88.556486
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Chicago|IL|60646|41.993|-87.7596|2680484|Biochemist, clinical|2003-03-10|528274907582|young_adults_female_urban.json|294a890050f26036ac74ad060505baa5|2024-04-11|23:52:52|1712893972|shopping_pos|789.00|1|Kihn Inc|42.351778|-87.107500
