ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|820a5a1031ae85065de5a7002d321a5a|2024-01-08|02:21:55|1704698515|gas_transport|10.71|1|Schmitt Inc|45.349015|-68.479869
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|eb0c4cd0dbbe1fba2c0a447048c90856|2024-01-08|02:24:02|1704698642|grocery_pos|298.15|1|Lockman Ltd|44.729939|-67.581321
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|865e9add9063fa9d39f643d0d383b65e|2024-01-08|01:31:32|1704695492|grocery_pos|277.95|1|Doyle Ltd|46.082360|-68.196404
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|dbd82bcd425f0d1607c9c654788c731c|2024-01-08|03:45:17|1704703517|grocery_pos|309.62|1|Doyle Ltd|45.151862|-68.886356
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|7f3e7e9b9dbad59b72ebf4f751817113|2024-01-08|00:51:14|1704693074|grocery_pos|326.92|1|Doyle Ltd|46.153046|-67.803275
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|8cf058d170b66cbf1bae8d2fa99acda8|2024-01-08|02:55:22|1704700522|grocery_pos|291.75|1|Huel, Hammes and Witting|44.901107|-67.539640
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|430be9a6b9dadef6a2f495074c55a9ec|2024-01-08|23:04:44|1704773084|misc_net|701.30|1|Huel Ltd|45.970689|-68.672300
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|4cd4d5e5724e9d75c911dd3081757791|2024-01-08|23:25:43|1704774343|misc_net|762.14|1|Huel Ltd|46.031997|-67.875873
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|779c72ff6eaea606c379da6f091b35b7|2024-01-09|22:37:00|1704857820|shopping_net|1030.72|1|Labadie, Treutel and Bode|45.370175|-67.973641
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Lee|ME|04455|45.3635|-68.2909|923|Therapist, speech and language|2002-08-02|915259790398|young_adults_male_rural.json|fe3ee9cb96b49a157e676d2276e3175a|2024-01-09|22:30:40|1704857440|shopping_net|848.01|1|Kuhic, Bins and Pfeffer|46.092860|-67.622822
