ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|2a8b5b537e8defa8869df3372ed4d1e6|2024-01-02|00:43:09|1704174189|grocery_pos|13.11|1|Doyle Ltd|41.448530|-90.425640
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|4a55c43e16a2227a369137bfcb28c01f|2024-01-02|03:02:51|1704182571|misc_net|10.50|1|Bogisich-Homenick|40.921948|-88.757766
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|8cdbe6b2c6abf2c96999b6e7c3b90663|2024-01-02|01:50:59|1704178259|gas_transport|308.92|1|Zieme, Bode and Dooley|41.187102|-89.765219
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|105d004e4c6076b43941b0e6d8f78aab|2024-01-02|03:23:50|1704183830|gas_transport|785.77|1|Schmitt Inc|40.575036|-89.203652
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|34a2d4b1d98942044031ce6fea114cef|2024-01-03|22:25:39|1704338739|shopping_net|8.81|1|Kuhic, Bins and Pfeffer|39.896826|-89.523654
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|60d6d3c9eeecd4e80ad11ca66f0f84ac|2024-01-03|23:22:29|1704342149|shopping_net|1170.49|1|Kuhic, Bins and Pfeffer|40.917471|-90.112440
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|c3a53483a7af491885a3631dea420f6b|2024-01-03|14:53:49|1704311629|misc_pos|1075.00|1|Wisozk and Sons|40.646706|-88.763513
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|87598bda2104a74830568013ac18731d|2024-01-03|23:49:22|1704343762|shopping_pos|1115.79|1|Mayert Group|40.421873|-89.893183
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|3b83f21311c41673ac926b59e805d0a4|2024-01-03|23:35:34|1704342934|shopping_net|931.87|1|Kuhic, Bins and Pfeffer|41.671508|-89.069267
697-93-1877|4514627048281480|Lee|Hernandez|M|809 Burns Creek|Peoria|IL|61615|40.7661|-89.645|142158|Medical laboratory scientific officer|2006-05-22|888335239225|young_adults_male_urban.json|1f3bcc38175bc90994e10f9bf6be8467|2024-01-05|04:42:57|1704447777|gas_transport|79.30|0|Schmitt Inc|40.300817|-89.448197
