ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|75eec206613764a08403b2ba035369b0|2024-02-05|01:02:08|1707112928|misc_net|10.12|1|Kerluke Inc|34.679546|-79.544297
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|5fa89108e3dad7758c8caf1f599aaefc|2024-02-05|00:04:39|1707109479|grocery_pos|11.04|1|Barton Inc|34.698088|-78.575975
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|3b7e206732d9105c23357db39ca747f4|2024-02-05|00:31:40|1707111100|grocery_pos|282.05|1|Schoen, Kuphal and Nitzsche|34.182351|-79.561601
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|79209a9de48630ba197b344c4dc27eb2|2024-02-05|01:05:24|1707113124|grocery_pos|290.04|1|Wolf Inc|35.445967|-78.900915
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|1bd7695d5ec0c706ba5ccbb773d37a5b|2024-02-05|03:45:49|1707122749|grocery_pos|305.03|1|Miller-Hauck|35.242162|-78.078677
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|332773c027fd078727e9209fbc834542|2024-02-06|07:48:59|1707223739|misc_net|346.21|1|Rodriguez, Yost and Jenkins|35.117565|-79.265854
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|a974b0224ad59b82f1f6b2088b794fff|2024-02-05|00:02:06|1707109326|gas_transport|277.08|1|Corwin-Collins|34.829707|-78.411775
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|5f191637cbc4e2d8bf2c138f45469f46|2024-02-05|00:13:47|1707110027|grocery_pos|290.35|1|Kiehn Inc|34.527854|-78.171394
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|21c14297f683052b0a15dfecfc15d64e|2024-02-05|00:35:34|1707111334|misc_net|827.85|1|Nader-Heller|35.279313|-77.838027
096-38-3631|6011495788568554|Michele|Nelson|F|13518 James Streets Suite 498|Bladenboro|NC|28320|34.5658|-78.7793|9229|Therapist, speech and language|2003-08-02|915259790398|young_adults_female_urban.json|3139da1ae63191988bdefa5da2a10070|2024-02-05|02:25:29|1707117929|grocery_pos|778.63|1|Cole PLC|34.888408|-78.023111
