input:
            1st input  2nd input
2014-12-31   0.162435  -0.041676
2015-01-31   0.263693  -0.088978
2015-02-28   0.149701  -0.308225
2015-03-31  -0.010413  -0.357817
2015-04-30  -0.031170  -0.373134
2015-05-31  -0.174783  -0.636652
2015-06-30  -0.230455  -0.670538
2015-07-31  -0.132095  -0.744779
2015-08-31  -0.176312  -0.975103

output:
            1st output in D  2nd output in D
2014-12-31         0.162435        -0.041676
2015-01-01         0.000000         0.000000
2015-01-02         0.000000         0.000000
2015-01-03         0.000000         0.000000
2015-01-04         0.000000         0.000000
2015-01-05         0.000000         0.000000
2015-01-06         0.000000         0.000000
2015-01-07         0.000000         0.000000
2015-01-08         0.000000         0.000000
2015-01-09         0.000000         0.000000
2015-01-10         0.000000         0.000000
2015-01-11         0.000000         0.000000
2015-01-12         0.000000         0.000000
2015-01-13         0.000000         0.000000
2015-01-14         0.000000         0.000000
2015-01-15         0.000000         0.000000
2015-01-16         0.000000         0.000000
2015-01-17         0.000000         0.000000
2015-01-18         0.000000         0.000000
2015-01-19         0.000000         0.000000
2015-01-20         0.000000         0.000000
2015-01-21         0.000000         0.000000
2015-01-22         0.000000         0.000000
2015-01-23         0.000000         0.000000
2015-01-24         0.000000         0.000000
2015-01-25         0.000000         0.000000
2015-01-26         0.000000         0.000000
2015-01-27         0.000000         0.000000
2015-01-28         0.000000         0.000000
2015-01-29         0.000000         0.000000
2015-01-30         0.000000         0.000000
2015-01-31         0.263693        -0.088978
2015-02-01         0.000000         0.000000
2015-02-02         0.000000         0.000000
2015-02-03         0.000000         0.000000
2015-02-04         0.000000         0.000000
2015-02-05         0.000000         0.000000
2015-02-06         0.000000         0.000000
2015-02-07         0.000000         0.000000
2015-02-08         0.000000         0.000000
2015-02-09         0.000000         0.000000
2015-02-10         0.000000         0.000000
2015-02-11         0.000000         0.000000
2015-02-12         0.000000         0.000000
2015-02-13         0.000000         0.000000
2015-02-14         0.000000         0.000000
2015-02-15         0.000000         0.000000
2015-02-16         0.000000         0.000000
2015-02-17         0.000000         0.000000
2015-02-18         0.000000         0.000000
2015-02-19         0.000000         0.000000
2015-02-20         0.000000         0.000000
2015-02-21         0.000000         0.000000
2015-02-22         0.000000         0.000000
2015-02-23         0.000000         0.000000
2015-02-24         0.000000         0.000000
2015-02-25         0.000000         0.000000
2015-02-26         0.000000         0.000000
2015-02-27         0.000000         0.000000
2015-02-28         0.149701        -0.308225
2015-03-01         0.000000         0.000000
2015-03-02         0.000000         0.000000
2015-03-03         0.000000         0.000000
2015-03-04         0.000000         0.000000
2015-03-05         0.000000         0.000000
2015-03-06         0.000000         0.000000
2015-03-07         0.000000         0.000000
2015-03-08         0.000000         0.000000
2015-03-09         0.000000         0.000000
2015-03-10         0.000000         0.000000
2015-03-11         0.000000         0.000000
2015-03-12         0.000000         0.000000
2015-03-13         0.000000         0.000000
2015-03-14         0.000000         0.000000
2015-03-15         0.000000         0.000000
2015-03-16         0.000000         0.000000
2015-03-17         0.000000         0.000000
2015-03-18         0.000000         0.000000
2015-03-19         0.000000         0.000000
2015-03-20         0.000000         0.000000
2015-03-21         0.000000         0.000000
2015-03-22         0.000000         0.000000
2015-03-23         0.000000         0.000000
2015-03-24         0.000000         0.000000
2015-03-25         0.000000         0.000000
2015-03-26         0.000000         0.000000
2015-03-27         0.000000         0.000000
2015-03-28         0.000000         0.000000
2015-03-29         0.000000         0.000000
2015-03-30         0.000000         0.000000
2015-03-31        -0.010413        -0.357817
2015-04-01         0.000000         0.000000
2015-04-02         0.000000         0.000000
2015-04-03         0.000000         0.000000
2015-04-04         0.000000         0.000000
2015-04-05         0.000000         0.000000
2015-04-06         0.000000         0.000000
2015-04-07         0.000000         0.000000
2015-04-08         0.000000         0.000000
2015-04-09         0.000000         0.000000
2015-04-10         0.000000         0.000000
2015-04-11         0.000000         0.000000
2015-04-12         0.000000         0.000000
2015-04-13         0.000000         0.000000
2015-04-14         0.000000         0.000000
2015-04-15         0.000000         0.000000
2015-04-16         0.000000         0.000000
2015-04-17         0.000000         0.000000
2015-04-18         0.000000         0.000000
2015-04-19         0.000000         0.000000
2015-04-20         0.000000         0.000000
2015-04-21         0.000000         0.000000
2015-04-22         0.000000         0.000000
2015-04-23         0.000000         0.000000
2015-04-24         0.000000         0.000000
2015-04-25         0.000000         0.000000
2015-04-26         0.000000         0.000000
2015-04-27         0.000000         0.000000
2015-04-28         0.000000         0.000000
2015-04-29         0.000000         0.000000
2015-04-30        -0.031170        -0.373134
2015-05-01         0.000000         0.000000
2015-05-02         0.000000         0.000000
2015-05-03         0.000000         0.000000
2015-05-04         0.000000         0.000000
2015-05-05         0.000000         0.000000
2015-05-06         0.000000         0.000000
2015-05-07         0.000000         0.000000
2015-05-08         0.000000         0.000000
2015-05-09         0.000000         0.000000
2015-05-10         0.000000         0.000000
2015-05-11         0.000000         0.000000
2015-05-12         0.000000         0.000000
2015-05-13         0.000000         0.000000
2015-05-14         0.000000         0.000000
2015-05-15         0.000000         0.000000
2015-05-16         0.000000         0.000000
2015-05-17         0.000000         0.000000
2015-05-18         0.000000         0.000000
2015-05-19         0.000000         0.000000
2015-05-20         0.000000         0.000000
2015-05-21         0.000000         0.000000
2015-05-22         0.000000         0.000000
2015-05-23         0.000000         0.000000
2015-05-24         0.000000         0.000000
2015-05-25         0.000000         0.000000
2015-05-26         0.000000         0.000000
2015-05-27         0.000000         0.000000
2015-05-28         0.000000         0.000000
2015-05-29         0.000000         0.000000
2015-05-30         0.000000         0.000000
2015-05-31        -0.174783        -0.636652
2015-06-01         0.000000         0.000000
2015-06-02         0.000000         0.000000
2015-06-03         0.000000         0.000000
2015-06-04         0.000000         0.000000
2015-06-05         0.000000         0.000000
2015-06-06         0.000000         0.000000
2015-06-07         0.000000         0.000000
2015-06-08         0.000000         0.000000
2015-06-09         0.000000         0.000000
2015-06-10         0.000000         0.000000
2015-06-11         0.000000         0.000000
2015-06-12         0.000000         0.000000
2015-06-13         0.000000         0.000000
2015-06-14         0.000000         0.000000
2015-06-15         0.000000         0.000000
2015-06-16         0.000000         0.000000
2015-06-17         0.000000         0.000000
2015-06-18         0.000000         0.000000
2015-06-19         0.000000         0.000000
2015-06-20         0.000000         0.000000
2015-06-21         0.000000         0.000000
2015-06-22         0.000000         0.000000
2015-06-23         0.000000         0.000000
2015-06-24         0.000000         0.000000
2015-06-25         0.000000         0.000000
2015-06-26         0.000000         0.000000
2015-06-27         0.000000         0.000000
2015-06-28         0.000000         0.000000
2015-06-29         0.000000         0.000000
2015-06-30        -0.230455        -0.670538
2015-07-01         0.000000         0.000000
2015-07-02         0.000000         0.000000
2015-07-03         0.000000         0.000000
2015-07-04         0.000000         0.000000
2015-07-05         0.000000         0.000000
2015-07-06         0.000000         0.000000
2015-07-07         0.000000         0.000000
2015-07-08         0.000000         0.000000
2015-07-09         0.000000         0.000000
2015-07-10         0.000000         0.000000
2015-07-11         0.000000         0.000000
2015-07-12         0.000000         0.000000
2015-07-13         0.000000         0.000000
2015-07-14         0.000000         0.000000
2015-07-15         0.000000         0.000000
2015-07-16         0.000000         0.000000
2015-07-17         0.000000         0.000000
2015-07-18         0.000000         0.000000
2015-07-19         0.000000         0.000000
2015-07-20         0.000000         0.000000
2015-07-21         0.000000         0.000000
2015-07-22         0.000000         0.000000
2015-07-23         0.000000         0.000000
2015-07-24         0.000000         0.000000
